PTS,FG_PCT,FG3_PCT,FT_PCT,REB,AST,STL,BLK,TOV,WL
68,0.309,0.171,0.632,33,16,11,3,22,0
76,0.36,0.286,0.8,42,18,8,2,16,0
77,0.383,0.25,0.643,37,16,3,2,17,0
80,0.326,0.242,0.667,47,20,4,5,9,0
80,0.378,0.262,0.7,39,16,9,3,17,0
81,0.306,0.175,0.667,43,17,9,5,10,0
81,0.312,0.233,0.762,38,18,9,4,11,0
82,0.356,0.147,0.556,41,23,11,7,14,0
82,0.393,0.304,1.0,47,16,8,3,22,0
82,0.346,0.36,0.85,49,16,4,3,20,0
83,0.326,0.171,0.833,51,18,5,8,10,0
83,0.368,0.273,0.813,44,15,11,9,14,0
83,0.33,0.188,0.789,41,16,10,3,17,0
83,0.393,0.391,0.444,43,20,4,1,14,0
83,0.388,0.174,0.765,41,22,12,3,19,0
83,0.349,0.296,0.714,34,21,13,3,22,0
83,0.298,0.345,0.821,28,16,11,3,10,0
84,0.378,0.3,0.727,45,20,4,6,15,0
84,0.356,0.188,0.737,46,23,4,3,14,0
84,0.419,0.35,0.625,32,18,8,0,11,0
84,0.377,0.364,0.583,30,16,10,2,13,0
84,0.354,0.25,0.783,50,18,6,6,15,0
85,0.365,0.167,0.917,47,14,6,6,11,0
85,0.375,0.257,0.588,35,21,10,1,12,0
85,0.405,0.25,0.714,40,22,5,0,13,0
85,0.391,0.143,0.667,39,19,5,8,12,0
85,0.323,0.233,0.565,49,18,7,9,12,0
85,0.321,0.3,0.826,48,20,9,8,22,0
86,0.419,0.235,0.75,43,27,2,6,18,0
86,0.361,0.407,0.652,53,14,4,2,15,0
86,0.368,0.227,0.607,48,20,6,4,21,0
86,0.39,0.235,0.636,41,21,8,5,16,0
86,0.398,0.2,0.643,51,13,5,4,12,0
86,0.402,0.286,0.857,40,19,7,5,17,0
86,0.385,0.185,0.786,41,20,11,2,17,0
86,0.338,0.348,0.8,47,16,9,4,19,0
86,0.385,0.152,0.55,51,16,11,4,14,0
86,0.421,0.222,0.818,44,18,2,5,17,0
86,0.348,0.24,0.8,50,11,7,5,19,0
86,0.371,0.29,0.846,51,17,3,4,20,0
86,0.382,0.167,0.938,53,18,5,2,15,0
87,0.415,0.273,0.625,47,23,10,5,19,0
87,0.403,0.324,0.778,40,22,5,3,18,0
87,0.398,0.148,0.85,48,15,4,10,14,0
87,0.295,0.353,0.792,41,18,4,10,11,0
87,0.355,0.31,0.8,53,19,9,1,17,0
87,0.369,0.209,0.727,48,20,6,9,16,0
87,0.357,0.323,0.708,42,21,4,1,17,0
87,0.405,0.25,0.789,37,24,7,2,15,0
87,0.388,0.414,0.813,49,20,8,3,20,0
87,0.39,0.25,0.789,41,19,9,3,19,0
87,0.363,0.364,0.643,45,20,5,3,12,0
87,0.391,0.192,0.609,47,18,8,5,16,0
88,0.352,0.214,0.773,36,20,6,6,12,0
88,0.383,0.345,0.75,42,21,5,8,14,0
88,0.467,0.176,0.789,36,23,8,2,22,0
88,0.423,0.3,0.731,43,21,8,4,24,0
88,0.356,0.222,0.69,38,16,8,4,14,0
88,0.378,0.393,0.789,42,21,12,3,21,0
88,0.374,0.25,0.917,44,25,7,6,22,0
88,0.405,0.2,0.778,36,17,13,7,15,0
88,0.37,0.242,0.8,42,19,8,2,19,0
88,0.43,0.143,0.786,40,25,5,7,15,0
88,0.42,0.258,0.706,38,25,10,4,19,0
88,0.341,0.313,0.857,43,17,8,4,11,0
88,0.418,0.167,0.783,42,19,7,9,16,0
88,0.33,0.406,0.929,49,19,8,5,12,0
88,0.407,0.194,0.667,40,22,12,7,13,0
88,0.394,0.261,0.963,37,15,13,4,19,0
88,0.383,0.194,0.714,44,18,8,7,18,0
89,0.351,0.129,0.731,45,18,6,4,8,0
89,0.363,0.263,0.813,50,23,6,2,19,0
89,0.409,0.28,0.714,44,18,2,5,12,0
89,0.382,0.286,0.692,47,22,6,2,15,0
89,0.393,0.29,0.778,39,27,6,3,17,0
89,0.413,0.35,0.889,44,16,7,2,18,0
89,0.368,0.257,0.923,37,21,8,1,22,0
89,0.315,0.241,0.929,42,17,13,4,10,0
89,0.397,0.152,0.667,53,14,7,4,23,0
89,0.447,0.286,1.0,40,16,10,3,27,0
89,0.391,0.296,1.0,46,23,1,8,19,0
89,0.356,0.276,0.704,41,20,15,6,18,0
89,0.347,0.195,0.789,37,22,12,4,9,0
89,0.352,0.179,0.733,54,13,4,15,19,0
89,0.333,0.22,0.69,49,11,10,5,8,0
89,0.429,0.381,0.84,36,19,7,7,18,1
89,0.371,0.189,0.8,47,16,4,3,11,0
89,0.402,0.275,0.571,35,16,12,5,17,0
90,0.322,0.175,0.758,51,15,7,2,7,0
90,0.443,0.444,0.444,30,23,3,2,13,0
90,0.395,0.182,0.593,52,25,6,5,15,0
90,0.41,0.231,0.714,34,16,10,5,12,0
90,0.425,0.345,0.8,42,21,7,3,26,0
90,0.402,0.313,0.556,42,17,8,6,14,0
90,0.44,0.294,0.731,50,23,5,6,10,1
90,0.382,0.387,0.588,33,19,5,3,13,0
90,0.404,0.242,0.769,47,20,3,7,16,0
90,0.418,0.343,0.4,47,19,7,11,16,0
90,0.394,0.355,1.0,44,26,8,2,19,0
90,0.456,0.304,0.611,47,10,11,5,24,1
90,0.389,0.25,0.778,35,21,10,3,15,0
90,0.407,0.225,0.778,51,21,6,3,12,0
91,0.363,0.263,0.789,41,19,8,4,12,0
91,0.452,0.212,0.667,52,24,3,4,16,0
91,0.425,0.206,0.556,34,23,6,9,14,0
91,0.39,0.524,0.941,39,14,6,1,13,0
91,0.414,0.357,0.719,40,15,4,5,19,0
91,0.398,0.182,0.619,52,21,7,9,9,0
91,0.479,0.556,0.65,33,18,10,4,18,0
91,0.386,0.222,0.882,43,13,5,5,23,0
91,0.432,0.282,0.842,34,24,9,6,20,0
91,0.348,0.207,0.955,41,14,11,5,15,0
91,0.349,0.367,0.714,48,11,12,5,20,0
91,0.405,0.267,0.789,49,24,5,4,14,0
91,0.376,0.389,0.7,51,21,10,5,18,0
91,0.41,0.278,0.947,35,18,11,4,14,0
91,0.327,0.233,0.882,41,21,9,6,11,0
91,0.391,0.308,0.688,45,18,6,6,15,0
91,0.377,0.282,0.629,40,20,6,4,19,0
92,0.465,0.179,0.7,41,20,5,4,17,0
92,0.435,0.353,0.632,36,23,14,6,21,0
92,0.4,0.273,0.733,44,17,5,4,11,0
92,0.438,0.31,0.765,40,23,8,3,14,0
92,0.398,0.259,0.846,39,16,9,4,16,0
92,0.4,0.304,0.654,46,19,6,6,10,0
92,0.449,0.281,0.684,42,26,5,7,20,0
92,0.453,0.419,0.846,22,23,8,3,13,0
92,0.4,0.3,0.833,40,22,7,6,13,0
92,0.452,0.304,0.643,31,11,5,2,12,0
92,0.423,0.333,0.895,36,22,12,10,14,0
92,0.418,0.194,0.769,51,19,7,5,12,1
92,0.415,0.333,0.667,51,19,9,10,13,1
92,0.375,0.333,0.667,46,24,5,2,9,0
92,0.368,0.237,0.684,51,19,6,1,20,0
92,0.36,0.219,0.65,52,18,5,6,14,0
92,0.407,0.192,0.81,46,20,6,4,12,0
92,0.372,0.216,0.667,47,20,10,3,15,0
92,0.383,0.27,0.769,49,18,7,6,15,0
92,0.369,0.321,0.808,43,18,10,2,11,1
92,0.358,0.212,0.739,52,18,5,4,13,0
93,0.443,0.231,0.818,41,23,5,4,11,0
93,0.342,0.382,0.813,33,15,7,1,12,0
93,0.36,0.395,0.857,41,19,6,3,6,0
93,0.404,0.243,0.706,47,17,9,9,14,0
93,0.384,0.273,0.783,52,21,5,5,11,1
93,0.36,0.262,0.769,38,14,9,6,12,0
93,0.506,0.345,0.263,45,25,3,6,19,0
93,0.463,0.35,0.833,36,21,4,6,12,0
93,0.386,0.323,0.682,50,25,7,6,17,0
